낙지,개불,바지락,주꾸미,감태,톳,재첩,갈래곰보,복어,장어,가재,소라,굴,아귀,해파리,진두발,잉어,전복,붕어,홍어,문어,홍합,밴댕이,쥐치,병어,꼬막,꽁치,갈치,틸라피아,해삼,성대,멍게,망둑어,삼치,키조개,가리비,송어,게,드렁허리,쏘가리,가자미,조기,다시마,우렁이,구라미,고등어,가물치,빙어,가다랑어,새치,청각,대합,등목어,볼락,붉평치,김,미역,해물혼합,성게,꼴뚜기,코토니,퓨질리어,스피노잠,우뭇가사리,돌가사리,꼬시래기,옥덩굴,갈치꼬치,바리,서대,실말,고둥,다슬기,도미,새우,민어,다랑어,조개,청어,전갱이,연어,방어,동죽,대구,동치,농어,민태,식용자라,가오리,미꾸라지,골뱅이,날치,매퉁이,만새기,숭어,까나리,달고기,쏨뱅이,백합,상어,오징어,넙치,칼고기,럼프피쉬,동사리,메기
낙지,개불,바지락,주꾸미,감태,톳,재첩,갈래곰보,자주복,뱀장어,바닷가재,소라,굴,아귀,해파리,진두발,잉어,전복,붕어,홍어,문어,홍합,밴댕이,가는꼬리쥐치,병어,새꼬막,꽁치,갈치,틸라피아,해삼,성대,멍게,망둑어,삼치,키조개,가리비,송어,왕게,드렁허리,쏘가리,각시가자미,참조기,다시마,큰구슬우렁이,구라미,줄무늬고등어,가물치,코드아이스피쉬,스리랑카가다랑어,돛새치,청각,북방대합,등목어,조피볼락,붉평치,김,미역,해물혼합,성게알,꼴뚜기,코토니,퓨질리어피쉬,스피노잠,우뭇가사리,돌가사리,꼬시래기,옥덩굴,기름치,다금바리,홍서대,실말,피뿔고둥,다슬기,감성돔,젓새우,홍민어,황다랑어,밤색무늬조개,그물눈태평양청어,"전갱이,POMPANO",대서양연어,방어,동죽,대구,바늘동치,파타고니아이빨고기,회초리꼬리민태,식용자라,가오리,미꾸라지,골뱅이,날치알,물천구,만새기,숭어,까나리,달고기,임연수어,백합,상어,오징어,강도다리,"칼고기,Chitala chitala",대서양럼프피쉬,동사리,PANGASIUS메기
,,,,,,,,흑밀복,먹장어,민물가재,뿔소라,,,,,이스라엘잉어,"전복속,Haliotis rubra",버들붕어,"홍어목,Bathyraja parmifera",,초록입홍합,"밴댕이속,Sardinella longiceps",쥐치,기타병어류,꼬막,학공치,,,,,,문절망둑,꼬치삼치,,큰가리비,무지개송어,참게,,,돌가자미,,,왕우렁이,,고등어,사두가물치,빙어,가다랑어,황새치,,깜장북방대합,,장문볼락,,,,,보라성게알,흰꼴뚜기,,한줄퓨실리아,,,,,바다포도,"갈치꼬치과,Lepidopus caudatus",바리,서대,큰실말,갯고둥,,참돔,흰다리새우,참조기,남방참다랑어,비단조개,청어알,가라지,은연어,참치방어,,민대구,,바라문디,새꼬리민태알,,노랑가오리,,,,매퉁이,,숭어알,,,대구횟대,"백합,MERCENARIA MERCENARIA",청상아리,화살오징어,도다리,,,,메기
,,,,,,,,민밀복,칠성장어,가재,,,,,,카틀라잉어,오분자기,쌍지붕어,,,동해담치,,말쥐치,"병어과,Stromateus brasiliensis",,,,,,,,,검정통삼치,,캐롤라이나해만가리비,,꽃게,,,검정가자미,,,,,몽치다래,,열빙어,,청새치,,,,한벌홍감펭,,,,,,"꼴뚜기속,Loligo vulgaris",,,,,,,,,갈색둥근바리,"서대,솔레아종",,논고둥,,동갈돗돔,새우,부세,참다랑어,민들조개,준치,긴가라지,"홍연어,Red salmon",잿방어,,가이민대구,,농어,새꼬리민태,,거울가오리,,,,,,,,,동갈횟대,아담스백합,청새리상어,갑오징어,넙치,,,,칼집메기
,,,,,,,,은밀복,남방걸장어,,,,,,,모라카플렛잉어,,,,,,,"쥐치과,Meuschenia scaber",병치매가리,,,,,,,,,동갈삼치,,"가리비속,Pecten maximus",,민꽃게,,,까지가자미,,,,,물치다래,,열빙어알,,녹새치,,,,구실우럭,,,,,,"꼴뚜기과,Uroteuthis duvaucelii",,,,,,,,,아르헨티나바리류,개서대,,위고둥,,어름돔,얼룩새우,큰민어,눈다랑어,개량조개,전어,흑점줄전갱이,연어,,,검정대구,,홍옥치,민태,,,,,,,,,,,쥐노래미,비너스백합,흑기흉상어,반원니오징어,터봇,,,,붉은메기
,,,,,,,,까치복,장어,,,,,,,미얀마잉어,,,,,,,"쥐치복과,Balistes capriscus",,,,,,,,,,,,비단가리비,,대게,,,범가자미,,,,,블루피쉬,,바다빙어,,짧은부리청새치,,,,홍감펭,,,,,,창꼴뚜기,,,,,,,,,자바리,"납서대과,Solea solea",,고둥,,금눈돔,새뱅이,꼬마민어,대서양참다랑어,살조개,정어리,황기가라지,수랑,,,은민대구,,독가시치,줄민태,,,,,,,,,,,양태,주름백합,곱상어,흰오징어,,,,,물메기
,,,,,,,,참복,은장어,,,,,,,초어,,,,,,,객주리,,,,,,,,,,,,,,게,,,노랑가자미,,,,,,,,,백새치,,,,볼락,,,,,,,,,,,,,,,붉바리,세네갈서대,,매물고둥,,돔,적새우,민어,날개다랑어,피조개,눈퉁멸,부시리,연어알,,,대구알,,보리멸,등갈민태,,,,,,,,,,,,남방백합,귀상어,날개오징어,,,,,체장메기
,,,,,,,,불룩복,붕장어,,,,,,,,,,,,,,,,,,,,,,,,,,,,두점박이민꽃게,,,첨치가자미,,,,,,,,,"돛새치속,Istiophorus albicans",,,,검정볼락,,,,,,,,,,,,,,,"바리,교잡종",,,유럽물레고둥,,황돔,징거미새우,파마이석태,점다랑어,가무락조개,샛줄멸,실전갱이,태평양연어,,,은대구,,다동가리,"민태속,Johnius dussumieri",,,,,,,,,,,,,돔발상어,아메리카대왕오징어,,,,,"메기목,PANGASIUS PANGASIUS"
,,,,,,,,까칠복,대서양먹장어,,,,,,,,,,,,,,,,,,,,,,,,,,,,톱날꽃게,,,가자미,,,,,,,,,,,,,먹볼락,,,,,,,,,,,,,,,무늬바리,,,콩깍지고둥,,강담돔,민물새우,긴가이석태,다랑어,개조개,멸치,"가시전갱이속,Scomberoides commersonnianus",곱사연어,,,점수염대구,,장성베도라치,줄비늘치,,,,,,,,,,,,,별상어,,,,,,동자개
,,,,,,,,검복,갯장어,,,,,,,,,,,,,,,,,,,,,,,,,,,,던지네스게,,,소주목탁가자미,,,,,,,,,,,,,양볼락,,,,,,,,,,,,,,,"바리과,Plectropomus oligacanthus",,,거미고둥,,벵에돔,그라비새우,영상가이석태,,맛조개,청어,배불뚝치,,,,남방대구,,도루묵,,,,,,,,,,,,,,펜두상어,매오징어,,,,,아리우스동자개
